ParticipantId,Technique,Distance,TextSize,TrialNumber,StartDateTime,TotalTime,SelectionsCount,SelectionsTime,SelectionsDistance,Deselections,Errors,Success,PanCount,PanTime,PanDistance,ZoomCount,ZoomTime,ZoomDistance,HeadPhoneDistance
0,A_MobileDeviceOnly,1_Easy,1_Large,0,2018-01-09 16-03-27,"6,0951066",0,0,0,0,0,0,1,"1,8128422","0,2249814",0,0,0,0
0,A_MobileDeviceOnly,1_Easy,1_Large,1,2018-01-09 16-03-34,"4,0463061",0,0,0,0,0,0,2,"1,3437045","0,2476173",0,0,0,0
0,A_MobileDeviceOnly,1_Easy,1_Large,2,2018-01-09 16-03-38,"3,0604662",0,0,0,0,0,0,1,"1,5975525","0,7287995",0,0,0,0
